"","Sample.Name","Lipid.Extracted.","Spp","Scientific.Name","Tow","Replicate","Plate","Well","Mass"
"22","FS2LE",TRUE,"Squid","Decapodiformes",41,"C","2X","B2",0.81
"23","FS30LE",TRUE,"Blue Whiting","Micromesistius poutassou",33,"A","2X","E12",0.775
"24","FS31LE",TRUE,"Norway Pout","Trisopterus esmarkii",33,"B","2X","F1",0.791
"25","FS32LE",TRUE,"Lemon Sole","Microstomus kitt",19,"B","2X","F2",0.786
"26","FS33LE",TRUE,"Plaice","Pleuronectes platessa",43,"C","","",NA
"27","FS34LE",TRUE,"Lemon Sole","Microstomus kitt",19,"A","","",NA
"28","FS35LE",TRUE,"Red Gurnard","Chelidonichthys cuculus",19,"C","","",NA
"29","FS36LE",TRUE,"Plaice","Pleuronectes platessa",19,"A","","",NA
"30","FS37LE",TRUE,"Common Dab","Limanda limanda",19,"C","","",NA
"31","FS38LE",TRUE,"Grey Gurnard","Eutrigla gurnardus",38,"B","","",NA
"32","FS39LE",TRUE,"Grey Gurnard","Eutrigla gurnardus",38,"C","","",NA
"33","FS3LE",TRUE,"Argentine","Argentina sphyraena",33,"C","2X","B12",0.76
"34","FS40LE",TRUE,"Grey Gurnard","Eutrigla gurnardus",38,"A","","",NA
"35","FS41LE",TRUE,"Common Dab","Limanda limanda",43,"A","","",NA
"36","FS42LE",TRUE,"Common Dab","Limanda limanda",38,"B","","",NA
"37","FS43LE",TRUE,"Norway Pout","Trisopterus esmarkii",26,"C","","",NA
"38","FS44LE",TRUE,"Common Dab","Limanda limanda",19,"B","","",NA
"39","FS45LE",TRUE,"Common Dab","Limanda limanda",38,"A","","",NA
"40","FS46LE",TRUE,"Common Dab","Limanda limanda",19,"A","","",NA
"41","FS47LE",TRUE,"Argentine","Argentina sphyraena",38,"A","","",NA
"42","FS48LE",TRUE,"Argentine","Argentina sphyraena",38,"C","","",NA
"43","FS49LE",TRUE,"Poor Cod","Trisopterus minutus",38,"C","","",NA
"44","FS4LE",TRUE,"Argentine","Argentina sphyraena",33,"B","2X","B9",0.768
"45","FS50LE",TRUE,"Common Dab","Limanda limanda",43,"C","","",NA
"46","FS51LE",TRUE,"Poor Cod","Trisopterus minutus",38,"B","","",NA
"47","FS52LE",TRUE,"Cod","Gadus Morhua",19,"A+","","",NA
"48","FS53LE",TRUE,"Common Dab","Limanda limanda",38,"C","","",NA
"49","FS54LE",TRUE,"Norway Pout","Trisopterus esmarkii",26,"A","","",NA
"50","FS55LE",TRUE,"Poor Cod","Trisopterus minutus",38,"A","","",NA
"51","FS56LE",TRUE,"Common Dab","Limanda limanda",43,"B","","",NA
"52","FS57LE",TRUE,"Cod","Gadus Morhua",19,"B","","",NA
"53","FS58LE",TRUE,"Common Dab","Limanda limanda",33,"A","","",NA
